,precision,recall,f1-score,support
0,1.0,0.4166666666666667,0.5882352941176471,48.0
1,0.8914728682170543,1.0,0.9426229508196722,230.0
accuracy,0.8992805755395683,0.8992805755395683,0.8992805755395683,0.8992805755395683
macro avg,0.9457364341085271,0.7083333333333334,0.7654291224686596,278.0
weighted avg,0.9102113657910881,0.8992805755395683,0.8814337151301139,278.0
