,precision,recall,f1-score,support
0,0.3723404255319149,0.7291666666666666,0.49295774647887325,48.0
1,0.9293478260869565,0.7434782608695653,0.8260869565217391,230.0
accuracy,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7410071942446043
macro avg,0.6508441258094357,0.7363224637681159,0.6595223515003061,278.0
weighted avg,0.8331738864227767,0.7410071942446043,0.7685682439963523,278.0
