,precision,recall,f1-score,support
0,0.9285714285714286,0.5416666666666666,0.6842105263157894,48.0
1,0.912,0.991304347826087,0.9500000000000001,230.0
accuracy,0.9136690647482014,0.9136690647482014,0.9136690647482014,0.9136690647482014
macro avg,0.9202857142857144,0.7664855072463768,0.8171052631578948,278.0
weighted avg,0.9148612538540597,0.9136690647482014,0.9041082923135177,278.0
