,precision,recall,f1-score,support
0,1.0,0.125,0.2222222222222222,48.0
1,0.8455882352941176,1.0,0.9163346613545816,230.0
accuracy,0.8489208633093526,0.8489208633093526,0.8489208633093526,0.8489208633093526
macro avg,0.9227941176470589,0.5625,0.5692784417884019,278.0
weighted avg,0.8722492594159965,0.8489208633093526,0.7964879092741742,278.0
